0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:54:01 +0700] "POST /emusicstore/register/processRegister HTTP/1.1" 200 7087
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:54:01 +0700] "GET /emusicstore/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121457
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:54:01 +0700] "GET /emusicstore/resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51143
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:54:01 +0700] "GET /emusicstore/resources/jquery/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:57:20 +0700] "GET /emusicstore/showMyLoginPage HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:57:21 +0700] "GET /emusicstore/resources/js/jquery-3.4.1.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:57:21 +0700] "GET /emusicstore/resources/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:57:21 +0700] "GET /emusicstore/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121457
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:57:21 +0700] "GET /emusicstore/resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51143
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:57:21 +0700] "GET /emusicstore/resources/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:57:22 +0700] "POST /emusicstore/authenticateTheUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:57:24 +0700] "GET /emusicstore/ HTTP/1.1" 200 6791
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:57:24 +0700] "GET /emusicstore/resources/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:57:24 +0700] "GET /emusicstore/resources/js/jquery-3.4.1.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:57:24 +0700] "GET /emusicstore/resources/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:57:24 +0700] "GET /emusicstore/resources/css/jquery.dataTables.min.css HTTP/1.1" 200 13899
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:57:24 +0700] "GET /emusicstore/resources/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:57:24 +0700] "GET /emusicstore/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 89856
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:57:24 +0700] "GET /emusicstore/resources/css/carousel.css HTTP/1.1" 200 1796
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:57:24 +0700] "GET /emusicstore/resources/images/back1.jpg HTTP/1.1" 200 237264
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:57:24 +0700] "GET /emusicstore/resources/images/back2.jpg HTTP/1.1" 200 204624
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:57:25 +0700] "GET /emusicstore/resources/images/instrument.jpg HTTP/1.1" 200 17414
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:57:25 +0700] "GET /emusicstore/resources/images/record.jpg HTTP/1.1" 200 35586
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:57:25 +0700] "GET /emusicstore/resources/images/back3.jpg HTTP/1.1" 200 236480
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:57:25 +0700] "GET /emusicstore/resources/images/accessory.jpg HTTP/1.1" 200 120854
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:57:25 +0700] "GET /emusicstore/resources/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:58:06 +0700] "POST /emusicstore/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:58:07 +0700] "GET /emusicstore/showMyLoginPage?logout HTTP/1.1" 200 2636
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:58:07 +0700] "GET /emusicstore/resources/js/jquery-3.4.1.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:58:07 +0700] "GET /emusicstore/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121457
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:58:07 +0700] "GET /emusicstore/resources/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:58:07 +0700] "GET /emusicstore/resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51143
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:58:07 +0700] "GET /emusicstore/resources/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:58:19 +0700] "POST /emusicstore/authenticateTheUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:58:21 +0700] "GET /emusicstore/ HTTP/1.1" 200 6667
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:58:21 +0700] "GET /emusicstore/resources/js/jquery-3.4.1.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:58:21 +0700] "GET /emusicstore/resources/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:58:21 +0700] "GET /emusicstore/resources/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:58:21 +0700] "GET /emusicstore/resources/css/jquery.dataTables.min.css HTTP/1.1" 200 13899
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:58:21 +0700] "GET /emusicstore/resources/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:58:21 +0700] "GET /emusicstore/resources/images/back1.jpg HTTP/1.1" 200 237264
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:58:21 +0700] "GET /emusicstore/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 89856
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:58:21 +0700] "GET /emusicstore/resources/css/carousel.css HTTP/1.1" 200 1796
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:58:21 +0700] "GET /emusicstore/resources/images/back2.jpg HTTP/1.1" 200 204624
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:58:21 +0700] "GET /emusicstore/resources/images/back3.jpg HTTP/1.1" 200 236480
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:58:21 +0700] "GET /emusicstore/resources/images/instrument.jpg HTTP/1.1" 200 17414
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:58:21 +0700] "GET /emusicstore/resources/images/record.jpg HTTP/1.1" 200 35586
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:58:21 +0700] "GET /emusicstore/resources/images/accessory.jpg HTTP/1.1" 200 120854
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:58:21 +0700] "GET /emusicstore/resources/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:58:29 +0700] "GET /emusicstore/product/list HTTP/1.1" 200 7853
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:58:29 +0700] "GET /emusicstore/resources/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:58:29 +0700] "GET /emusicstore/resources/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:58:29 +0700] "GET /emusicstore/resources/js/jquery-3.4.1.min.js HTTP/1.1" 200 88145
